"","id","host_id","host_listings_count","latitude","longitude","accommodates","bathrooms","beds","price","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_l30d","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","d_TV","d_hot_tub","d_wifi","d_gym","d_sound_system","d_dishwasher","d_pool","d_balcony","d_fridge","d_stove","d_coffee_machine","d_good_view","d_hair_dryer","d_air_conditioner","d_breakfast","d_wardrobe","f_property_type","f_neighbourhood_group_cleansed","f_neighbourhood_cleansed","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","n_days_since","f_bathroom","f_number_of_reviews","f_minimum_nights","accommodates2","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","n_days_since2","n_days_since3","ln_review_scores_rating"
"1",109,521,1,33.98301,-118.38607,6,2,3,115,30,730,1,0,0,0,227,2,0,4,0,1,0.01,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,"Condominium","Other Cities","Culver City",0,1,1,4132,3,2,3,36,1.79175946922805,3.2104019955684,1.09861228866811,1.09861228866811,8.32675881451173,69.3349123550488,577.335092605801,17073424,70547387968,1.38629436111989
"2",2864,3207,1,33.8749,-118.11515,2,1,1,50,30,730,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,"Entire Unit","Other Cities","Bellflower",0,1,1,0,2,1,3,4,0.693147180559945,0.480453013918201,0,0,0,0,0,0,0,-Inf
"3",212140,50231247,8,34.09395,-118.27673,6,1,3,180,30,362,1,0,0,0,153,95,0,4.9,0,4,0.7,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Silver Lake",1,1,1,4042,2,3,3,36,1.79175946922805,3.2104019955684,1.09861228866811,4.56434819146784,8.30474226964077,68.9687441651581,572.767644952429,16337764,66037242088,1.58923520511658
"4",212142,50231247,8,34.09419,-118.27871,4,1,2,150,30,180,1,0,0,0,32,68,0,4.91,0,4,0.51,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,"Entire Unit","City of Los Angeles","Silver Lake",1,1,1,4032,2,3,3,16,1.38629436111989,1.92181205567281,0.693147180559945,4.23410650459726,8.30226579487337,68.9276173287243,572.255399670389,16257024,65548320768,1.59127394180643
"5",214533,1036375,2,34.09624,-118.34656,2,1,1,135,33,90,1,24,24,24,123,3,0,5,0,1,0.06,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",0,1,1,1612,2,2,3,4,0.693147180559945,0.480453013918201,0,1.38629436111989,7.38585107812521,54.5507961482433,402.904056544091,2598544,4188852928,1.6094379124341
"6",217666,799408,1,34.0768,-118.35301,2,1,2,68,30,215,1,1,1,1,161,82,0,4.84,0,1,0.61,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Fairfax",1,1,1,4042,2,3,3,4,0.693147180559945,0.480453013918201,0.693147180559945,4.4188406077966,8.30474226964077,68.9687441651581,572.767644952429,16337764,66037242088,1.57691472072854
"7",84694,55411,14,34.12018,-118.32051,2,1,1,224,5,365,1,0,28,58,58,8,0,4.75,0,10,0.06,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,"Entire Unit","City of Los Angeles","Hollywood Hills",1,1,1,4208,2,2,3,4,0.693147180559945,0.480453013918201,0,2.19722457733622,8.34498036877057,69.6386973551662,581.133562335617,17707264,74512166912,1.55814461804655
"8",14098,55411,14,34.11834,-118.31997,2,1,1,362,4,20,1,28,58,88,88,37,0,4.94,0,10,0.26,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood Hills",1,1,1,4253,2,2,3,4,0.693147180559945,0.480453013918201,0,3.63758615972639,8.35561499576018,69.8163019573724,583.358139583542,18088009,76928302277,1.59736533119983
"9",229799,3392276,44,34.04682,-118.43568,4,1,2,99,30,360,1,30,60,90,270,35,0,4.49,0,44,0.28,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","West Los Angeles",0,1,1,3789,2,2,3,16,1.38629436111989,1.92181205567281,0.693147180559945,3.58351893845611,8.24012129807647,67.8995990070135,559.500931908544,14356521,54396858069,1.50185270175416
"10",101702,532541,3,34.07332,-118.26331,2,1,1,150,30,365,1,0,13,43,318,223,0,4.83,1,2,1.58,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Entire Unit","City of Los Angeles","Echo Park",1,1,1,4222,2,3,3,4,0.693147180559945,0.480453013918201,0,5.41164605185504,8.34830105493394,69.6941305038112,581.827583207671,17825284,75258349048,1.57484646766448
